Race,HispanicOrigin,Sex,Age,Interval,Agegroup_5,Agegroup,Pop,Total,White,Black,Asian,AIAN,NHPI,TwoOrMoreRaces
Total,Not Hispanic,Male,85,,,...85 years and over,2191165,2191165,1898120,155893,108791,10026,2248,16087
Total,Not Hispanic,Male,16,,,...16 years and over,106511847,106511847,80726056,15176760,7348698,920322,233179,2106832
Total,Not Hispanic,Male,18,,,...18 years and over,103302246,103302246,78498894,14605464,7132946,884961,224809,1955172
Total,Not Hispanic,Female,0,5,yes,...Under 5 years,7071235,7071235,4722235,1324206,465964,79107,19624,460099
Total,Not Hispanic,Female,5,5,yes,...5 to 9 years,7300605,7300605,4874540,1369040,496739,84705,19584,455997
Total,Not Hispanic,Female,10,5,yes,...10 to 14 years,7572366,7572366,5099703,1410180,520536,87343,20785,433819
Total,Not Hispanic,Female,15,5,yes,...15 to 19 years,7837205,7837205,5374563,1429443,553165,87058,20244,372732
Total,Not Hispanic,Female,20,5,yes,...20 to 24 years,8209160,8209160,5633574,1510571,622844,89556,20913,331702
Total,Not Hispanic,Female,25,5,yes,...25 to 29 years,9130031,9130031,6188431,1731951,792421,98281,24749,294198
Total,Not Hispanic,Female,30,5,yes,...30 to 34 years,8904045,8904045,6162490,1541900,857685,86658,25258,230054
Total,Not Hispanic,Female,35,5,yes,...35 to 39 years,8684880,8684880,6085206,1452176,844068,80235,24058,199137
Total,Not Hispanic,Female,40,5,yes,...40 to 44 years,7986639,7986639,5619312,1339206,772724,71876,20034,163487
Total,Not Hispanic,Female,45,5,yes,...45 to 49 years,8417906,8417906,6063475,1364444,752726,72903,18447,145911
Total,Not Hispanic,Female,50,5,yes,...50 to 54 years,8747724,8747724,6536109,1350577,642400,74917,17706,126015
Total,Not Hispanic,Female,55,5,yes,...55 to 59 years,9793688,9793688,7561494,1403968,604279,82279,17594,124074
Total,Not Hispanic,Female,60,5,yes,...60 to 64 years,9556695,9556695,7525101,1280849,552695,75498,14915,107637
Total,Not Hispanic,Female,65,5,yes,...65 to 69 years,8376068,8376068,6719447,1026763,476184,59571,11675,82428
Total,Not Hispanic,Female,70,5,yes,...70 to 74 years,6878113,6878113,5659370,744384,361124,43609,8578,61048
Total,Not Hispanic,Female,75,5,yes,...75 to 79 years,4885368,4885368,4072693,500691,238470,28110,5170,40234
Total,Not Hispanic,Female,80,5,yes,...80 to 84 years,3324574,3324574,2779692,337080,161055,17941,3386,25420
Total,Not Hispanic,Female,85,,yes,...85 years and over,3904697,3904697,3319314,355647,181991,16890,3413,27442
Total,Not Hispanic,Female,0,18,,...Under 18 years,26567544,26567544,17868715,4938209,1808209,302540,72091,1577780
Total,Not Hispanic,Female,0,5,,....Under 5 years,7071235,7071235,4722235,1324206,465964,79107,19624,460099
Total,Not Hispanic,Female,5,9,,....5 to 13 years,13344547,13344547,8933776,2501995,909943,154491,36110,808232
Total,Not Hispanic,Female,14,4,,....14 to 17 years,6151762,6151762,4212704,1112008,432302,68942,16357,309449
Total,Not Hispanic,Female,18,47,,...18 to 64 years,82644635,82644635,59577518,13570302,6670037,767876,191820,1867082
Total,Not Hispanic,Female,18,7,,....18 to 24 years,11423027,11423027,7835900,2105231,851039,125229,29059,476569
Total,Not Hispanic,Female,25,20,,....25 to 44 years,34705595,34705595,24055439,6065233,3266898,337050,94099,886876
Total,Not Hispanic,Female,45,20,,....45 to 64 years,36516013,36516013,27686179,5399838,2552100,305597,68662,503637
Total,Not Hispanic,Female,65,,,...65 years and over,27368820,27368820,22550516,2964565,1418824,166121,32222,236572
Total,Not Hispanic,Female,85,,,...85 years and over,3904697,3904697,3319314,355647,181991,16890,3413,27442
