Race,HispanicOrigin,Sex,Age,Interval,Agegroup_5,Agegroup,Pop,Total,White,Black,Asian,AIAN,NHPI,TwoOrMoreRaces
Asian,Hispanic,Total,30,5,yes,..30 to 34 years,47459,,,,,,,
Asian,Hispanic,Total,35,5,yes,..35 to 39 years,45133,,,,,,,
Asian,Hispanic,Total,40,5,yes,..40 to 44 years,41009,,,,,,,
Asian,Hispanic,Total,45,5,yes,..45 to 49 years,36156,,,,,,,
Asian,Hispanic,Total,50,5,yes,..50 to 54 years,30323,,,,,,,
Asian,Hispanic,Total,55,5,yes,..55 to 59 years,25866,,,,,,,
Asian,Hispanic,Total,60,5,yes,..60 to 64 years,20016,,,,,,,
Asian,Hispanic,Total,65,5,yes,..65 to 69 years,14032,,,,,,,
Asian,Hispanic,Total,70,5,yes,..70 to 74 years,9553,,,,,,,
Asian,Hispanic,Total,75,5,yes,..75 to 79 years,5927,,,,,,,
Asian,Hispanic,Total,80,5,yes,..80 to 84 years,3790,,,,,,,
Asian,Hispanic,Total,85,,yes,..85 years and over,3294,,,,,,,
Asian,Hispanic,Total,0,18,,..Under 18 years,197538,,,,,,,
Asian,Hispanic,Total,0,5,,...Under 5 years,55794,,,,,,,
Asian,Hispanic,Total,5,9,,...5 to 13 years,99706,,,,,,,
Asian,Hispanic,Total,14,4,,...14 to 17 years,42038,,,,,,,
Asian,Hispanic,Total,18,47,,..18 to 64 years,364849,,,,,,,
Asian,Hispanic,Total,18,7,,...18 to 24 years,68422,,,,,,,
Asian,Hispanic,Total,25,20,,...25 to 44 years,184066,,,,,,,
Asian,Hispanic,Total,45,20,,...45 to 64 years,112361,,,,,,,
Asian,Hispanic,Total,65,,,..65 years and over,36596,,,,,,,
Asian,Hispanic,Total,85,,,..85 years and over,3294,,,,,,,
Asian,Hispanic,Total,16,,,..16 years and over,422005,,,,,,,
Asian,Hispanic,Total,18,,,..18 years and over,401445,,,,,,,
Asian,Hispanic,Male,0,5,yes,...Under 5 years,28570,,,,,,,
Asian,Hispanic,Male,5,5,yes,...5 to 9 years,27150,,,,,,,
Asian,Hispanic,Male,10,5,yes,...10 to 14 years,29464,,,,,,,
Asian,Hispanic,Male,15,5,yes,...15 to 19 years,26244,,,,,,,
Asian,Hispanic,Male,20,5,yes,...20 to 24 years,24749,,,,,,,
Asian,Hispanic,Male,25,5,yes,...25 to 29 years,25281,,,,,,,
Asian,Hispanic,Male,30,5,yes,...30 to 34 years,23931,,,,,,,
Asian,Hispanic,Male,35,5,yes,...35 to 39 years,22946,,,,,,,
Asian,Hispanic,Male,40,5,yes,...40 to 44 years,20411,,,,,,,
Asian,Hispanic,Male,45,5,yes,...45 to 49 years,17751,,,,,,,
Asian,Hispanic,Male,50,5,yes,...50 to 54 years,14820,,,,,,,
Asian,Hispanic,Male,55,5,yes,...55 to 59 years,12398,,,,,,,
Asian,Hispanic,Male,60,5,yes,...60 to 64 years,9489,,,,,,,
Asian,Hispanic,Male,65,5,yes,...65 to 69 years,6295,,,,,,,
Asian,Hispanic,Male,70,5,yes,...70 to 74 years,4198,,,,,,,
Asian,Hispanic,Male,75,5,yes,...75 to 79 years,2471,,,,,,,
Asian,Hispanic,Male,80,5,yes,...80 to 84 years,1493,,,,,,,
Asian,Hispanic,Male,85,,yes,...85 years and over,1135,,,,,,,
Asian,Hispanic,Male,0,18,,...Under 18 years,101143,,,,,,,
Asian,Hispanic,Male,0,5,,....Under 5 years,28570,,,,,,,
Asian,Hispanic,Male,5,9,,....5 to 13 years,51019,,,,,,,
Asian,Hispanic,Male,14,4,,....14 to 17 years,21554,,,,,,,
Asian,Hispanic,Male,18,47,,...18 to 64 years,182061,,,,,,,
Asian,Hispanic,Male,18,7,,....18 to 24 years,35034,,,,,,,
Asian,Hispanic,Male,25,20,,....25 to 44 years,92569,,,,,,,
Asian,Hispanic,Male,45,20,,....45 to 64 years,54458,,,,,,,
Asian,Hispanic,Male,65,,,...65 years and over,15592,,,,,,,
Asian,Hispanic,Male,85,,,...85 years and over,1135,,,,,,,
Asian,Hispanic,Male,16,,,...16 years and over,208140,,,,,,,
Asian,Hispanic,Male,18,,,...18 years and over,197653,,,,,,,
Asian,Hispanic,Female,0,5,yes,...Under 5 years,27224,,,,,,,
Asian,Hispanic,Female,5,5,yes,...5 to 9 years,26085,,,,,,,
Asian,Hispanic,Female,10,5,yes,...10 to 14 years,27866,,,,,,,
Asian,Hispanic,Female,15,5,yes,...15 to 19 years,24868,,,,,,,
Asian,Hispanic,Female,20,5,yes,...20 to 24 years,23740,,,,,,,
Asian,Hispanic,Female,25,5,yes,...25 to 29 years,25184,,,,,,,
Asian,Hispanic,Female,30,5,yes,...30 to 34 years,23528,,,,,,,
Asian,Hispanic,Female,35,5,yes,...35 to 39 years,22187,,,,,,,
Asian,Hispanic,Female,40,5,yes,...40 to 44 years,20598,,,,,,,
Asian,Hispanic,Female,45,5,yes,...45 to 49 years,18405,,,,,,,
Asian,Hispanic,Female,50,5,yes,...50 to 54 years,15503,,,,,,,
Asian,Hispanic,Female,55,5,yes,...55 to 59 years,13468,,,,,,,
Asian,Hispanic,Female,60,5,yes,...60 to 64 years,10527,,,,,,,
Asian,Hispanic,Female,65,5,yes,...65 to 69 years,7737,,,,,,,
Asian,Hispanic,Female,70,5,yes,...70 to 74 years,5355,,,,,,,
Asian,Hispanic,Female,75,5,yes,...75 to 79 years,3456,,,,,,,
Asian,Hispanic,Female,80,5,yes,...80 to 84 years,2297,,,,,,,
Asian,Hispanic,Female,85,,yes,...85 years and over,2159,,,,,,,
Asian,Hispanic,Female,0,18,,...Under 18 years,96395,,,,,,,
Asian,Hispanic,Female,0,5,,....Under 5 years,27224,,,,,,,
Asian,Hispanic,Female,5,9,,....5 to 13 years,48687,,,,,,,
Asian,Hispanic,Female,14,4,,....14 to 17 years,20484,,,,,,,
Asian,Hispanic,Female,18,47,,...18 to 64 years,182788,,,,,,,
Asian,Hispanic,Female,18,7,,....18 to 24 years,33388,,,,,,,
Asian,Hispanic,Female,25,20,,....25 to 44 years,91497,,,,,,,
Asian,Hispanic,Female,45,20,,....45 to 64 years,57903,,,,,,,
Asian,Hispanic,Female,65,,,...65 years and over,21004,,,,,,,
Asian,Hispanic,Female,85,,,...85 years and over,2159,,,,,,,
Asian,Hispanic,Female,16,,,...16 years and over,213865,,,,,,,
Asian,Hispanic,Female,18,,,...18 years and over,203792,,,,,,,
AIAN,Total,Total,0,5,yes,.Under 5 years,314226,,,,,,,
AIAN,Total,Total,5,5,yes,.5 to 9 years,324280,,,,,,,
AIAN,Total,Total,10,5,yes,.10 to 14 years,334255,,,,,,,
AIAN,Total,Total,15,5,yes,.15 to 19 years,324659,,,,,,,
AIAN,Total,Total,20,5,yes,.20 to 24 years,323190,,,,,,,
AIAN,Total,Total,25,5,yes,.25 to 29 years,347160,,,,,,,
AIAN,Total,Total,30,5,yes,.30 to 34 years,315020,,,,,,,
AIAN,Total,Total,35,5,yes,.35 to 39 years,297489,,,,,,,
AIAN,Total,Total,40,5,yes,.40 to 44 years,265892,,,,,,,
AIAN,Total,Total,45,5,yes,.45 to 49 years,255123,,,,,,,
AIAN,Total,Total,50,5,yes,.50 to 54 years,240652,,,,,,,
AIAN,Total,Total,55,5,yes,.55 to 59 years,239133,,,,,,,
AIAN,Total,Total,60,5,yes,.60 to 64 years,203338,,,,,,,
AIAN,Total,Total,65,5,yes,.65 to 69 years,151885,,,,,,,
AIAN,Total,Total,70,5,yes,.70 to 74 years,108322,,,,,,,
AIAN,Total,Total,75,5,yes,.75 to 79 years,67275,,,,,,,
AIAN,Total,Total,80,5,yes,.80 to 84 years,40812,,,,,,,
AIAN,Total,Total,85,,yes,.85 years and over,35381,,,,,,,
AIAN,Total,Total,0,18,,.Under 18 years,1166260,,,,,,,
AIAN,Total,Total,0,5,,..Under 5 years,314226,,,,,,,
AIAN,Total,Total,5,9,,..5 to 13 years,591848,,,,,,,
AIAN,Total,Total,14,4,,..14 to 17 years,260186,,,,,,,
AIAN,Total,Total,18,47,,.18 to 64 years,2618157,,,,,,,
AIAN,Total,Total,18,7,,..18 to 24 years,454350,,,,,,,
AIAN,Total,Total,25,20,,..25 to 44 years,1225561,,,,,,,
AIAN,Total,Total,45,20,,..45 to 64 years,938246,,,,,,,
AIAN,Total,Total,65,,,.65 years and over,403675,,,,,,,
AIAN,Total,Total,85,,,.85 years and over,35381,,,,,,,
AIAN,Total,Total,16,,,.16 years and over,3150144,,,,,,,
AIAN,Total,Total,18,,,.18 years and over,3021832,,,,,,,
AIAN,Total,Male,0,5,yes,..Under 5 years,160102,,,,,,,
AIAN,Total,Male,5,5,yes,..5 to 9 years,164972,,,,,,,
AIAN,Total,Male,10,5,yes,..10 to 14 years,170237,,,,,,,
AIAN,Total,Male,15,5,yes,..15 to 19 years,165160,,,,,,,
AIAN,Total,Male,20,5,yes,..20 to 24 years,164843,,,,,,,
AIAN,Total,Male,25,5,yes,..25 to 29 years,179542,,,,,,,
AIAN,Total,Male,30,5,yes,..30 to 34 years,165359,,,,,,,
AIAN,Total,Male,35,5,yes,..35 to 39 years,154058,,,,,,,
AIAN,Total,Male,40,5,yes,..40 to 44 years,136447,,,,,,,
AIAN,Total,Male,45,5,yes,..45 to 49 years,129414,,,,,,,
AIAN,Total,Male,50,5,yes,..50 to 54 years,120871,,,,,,,
AIAN,Total,Male,55,5,yes,..55 to 59 years,117227,,,,,,,
AIAN,Total,Male,60,5,yes,..60 to 64 years,97384,,,,,,,
AIAN,Total,Male,65,5,yes,..65 to 69 years,71407,,,,,,,
AIAN,Total,Male,70,5,yes,..70 to 74 years,50770,,,,,,,
AIAN,Total,Male,75,5,yes,..75 to 79 years,30457,,,,,,,
AIAN,Total,Male,80,5,yes,..80 to 84 years,17351,,,,,,,
AIAN,Total,Male,85,,yes,..85 years and over,13205,,,,,,,
AIAN,Total,Male,0,18,,..Under 18 years,593680,,,,,,,
AIAN,Total,Male,0,5,,...Under 5 years,160102,,,,,,,
AIAN,Total,Male,5,9,,...5 to 13 years,301410,,,,,,,
AIAN,Total,Male,14,4,,...14 to 17 years,132168,,,,,,,
AIAN,Total,Male,18,47,,..18 to 64 years,1331936,,,,,,,
AIAN,Total,Male,18,7,,...18 to 24 years,231634,,,,,,,
AIAN,Total,Male,25,20,,...25 to 44 years,635406,,,,,,,
AIAN,Total,Male,45,20,,...45 to 64 years,464896,,,,,,,
AIAN,Total,Male,65,,,..65 years and over,183190,,,,,,,
AIAN,Total,Male,85,,,..85 years and over,13205,,,,,,,
AIAN,Total,Male,16,,,..16 years and over,1580503,,,,,,,
AIAN,Total,Male,18,,,..18 years and over,1515126,,,,,,,
AIAN,Total,Female,0,5,yes,..Under 5 years,154124,,,,,,,
AIAN,Total,Female,5,5,yes,..5 to 9 years,159308,,,,,,,
AIAN,Total,Female,10,5,yes,..10 to 14 years,164018,,,,,,,
AIAN,Total,Female,15,5,yes,..15 to 19 years,159499,,,,,,,
AIAN,Total,Female,20,5,yes,..20 to 24 years,158347,,,,,,,
AIAN,Total,Female,25,5,yes,..25 to 29 years,167618,,,,,,,
AIAN,Total,Female,30,5,yes,..30 to 34 years,149661,,,,,,,
AIAN,Total,Female,35,5,yes,..35 to 39 years,143431,,,,,,,
AIAN,Total,Female,40,5,yes,..40 to 44 years,129445,,,,,,,
AIAN,Total,Female,45,5,yes,..45 to 49 years,125709,,,,,,,
AIAN,Total,Female,50,5,yes,..50 to 54 years,119781,,,,,,,
AIAN,Total,Female,55,5,yes,..55 to 59 years,121906,,,,,,,
AIAN,Total,Female,60,5,yes,..60 to 64 years,105954,,,,,,,
AIAN,Total,Female,65,5,yes,..65 to 69 years,80478,,,,,,,
AIAN,Total,Female,70,5,yes,..70 to 74 years,57552,,,,,,,
AIAN,Total,Female,75,5,yes,..75 to 79 years,36818,,,,,,,
AIAN,Total,Female,80,5,yes,..80 to 84 years,23461,,,,,,,
AIAN,Total,Female,85,,yes,..85 years and over,22176,,,,,,,
AIAN,Total,Female,0,18,,..Under 18 years,572580,,,,,,,
AIAN,Total,Female,0,5,,...Under 5 years,154124,,,,,,,
AIAN,Total,Female,5,9,,...5 to 13 years,290438,,,,,,,
AIAN,Total,Female,14,4,,...14 to 17 years,128018,,,,,,,
AIAN,Total,Female,18,47,,..18 to 64 years,1286221,,,,,,,
AIAN,Total,Female,18,7,,...18 to 24 years,222716,,,,,,,
AIAN,Total,Female,25,20,,...25 to 44 years,590155,,,,,,,
AIAN,Total,Female,45,20,,...45 to 64 years,473350,,,,,,,
AIAN,Total,Female,65,,,..65 years and over,220485,,,,,,,
AIAN,Total,Female,85,,,..85 years and over,22176,,,,,,,
AIAN,Total,Female,16,,,..16 years and over,1569641,,,,,,,
AIAN,Total,Female,18,,,..18 years and over,1506706,,,,,,,
AIAN,Not Hispanic,Total,0,5,yes,..Under 5 years,161894,,,,,,,
AIAN,Not Hispanic,Total,5,5,yes,..5 to 9 years,172598,,,,,,,
AIAN,Not Hispanic,Total,10,5,yes,..10 to 14 years,176829,,,,,,,
AIAN,Not Hispanic,Total,15,5,yes,..15 to 19 years,177333,,,,,,,
AIAN,Not Hispanic,Total,20,5,yes,..20 to 24 years,181686,,,,,,,
AIAN,Not Hispanic,Total,25,5,yes,..25 to 29 years,200776,,,,,,,
AIAN,Not Hispanic,Total,30,5,yes,..30 to 34 years,175046,,,,,,,
AIAN,Not Hispanic,Total,35,5,yes,..35 to 39 years,159155,,,,,,,
AIAN,Not Hispanic,Total,40,5,yes,..40 to 44 years,142290,,,,,,,
AIAN,Not Hispanic,Total,45,5,yes,..45 to 49 years,142567,,,,,,,
AIAN,Not Hispanic,Total,50,5,yes,..50 to 54 years,145125,,,,,,,
AIAN,Not Hispanic,Total,55,5,yes,..55 to 59 years,157082,,,,,,,
AIAN,Not Hispanic,Total,60,5,yes,..60 to 64 years,141109,,,,,,,
AIAN,Not Hispanic,Total,65,5,yes,..65 to 69 years,110613,,,,,,,
AIAN,Not Hispanic,Total,70,5,yes,..70 to 74 years,81240,,,,,,,
AIAN,Not Hispanic,Total,75,5,yes,..75 to 79 years,51392,,,,,,,
AIAN,Not Hispanic,Total,80,5,yes,..80 to 84 years,31257,,,,,,,
AIAN,Not Hispanic,Total,85,,yes,..85 years and over,26916,,,,,,,
AIAN,Not Hispanic,Total,0,18,,..Under 18 years,615950,,,,,,,
AIAN,Not Hispanic,Total,0,5,,...Under 5 years,161894,,,,,,,
AIAN,Not Hispanic,Total,5,9,,...5 to 13 years,313884,,,,,,,
AIAN,Not Hispanic,Total,14,4,,...14 to 17 years,140172,,,,,,,
AIAN,Not Hispanic,Total,18,47,,..18 to 64 years,1517540,,,,,,,
AIAN,Not Hispanic,Total,18,7,,...18 to 24 years,254390,,,,,,,
AIAN,Not Hispanic,Total,25,20,,...25 to 44 years,677267,,,,,,,
AIAN,Not Hispanic,Total,45,20,,...45 to 64 years,585883,,,,,,,
AIAN,Not Hispanic,Total,65,,,..65 years and over,301418,,,,,,,
AIAN,Not Hispanic,Total,85,,,..85 years and over,26916,,,,,,,
AIAN,Not Hispanic,Total,16,,,..16 years and over,1888426,,,,,,,
AIAN,Not Hispanic,Total,18,,,..18 years and over,1818958,,,,,,,
AIAN,Not Hispanic,Male,0,5,yes,...Under 5 years,82787,,,,,,,
AIAN,Not Hispanic,Male,5,5,yes,...5 to 9 years,87893,,,,,,,
AIAN,Not Hispanic,Male,10,5,yes,...10 to 14 years,89486,,,,,,,
AIAN,Not Hispanic,Male,15,5,yes,...15 to 19 years,90275,,,,,,,
AIAN,Not Hispanic,Male,20,5,yes,...20 to 24 years,92130,,,,,,,
AIAN,Not Hispanic,Male,25,5,yes,...25 to 29 years,102495,,,,,,,
AIAN,Not Hispanic,Male,30,5,yes,...30 to 34 years,88388,,,,,,,
AIAN,Not Hispanic,Male,35,5,yes,...35 to 39 years,78920,,,,,,,
AIAN,Not Hispanic,Male,40,5,yes,...40 to 44 years,70414,,,,,,,
AIAN,Not Hispanic,Male,45,5,yes,...45 to 49 years,69664,,,,,,,
AIAN,Not Hispanic,Male,50,5,yes,...50 to 54 years,70208,,,,,,,
AIAN,Not Hispanic,Male,55,5,yes,...55 to 59 years,74803,,,,,,,
AIAN,Not Hispanic,Male,60,5,yes,...60 to 64 years,65611,,,,,,,
AIAN,Not Hispanic,Male,65,5,yes,...65 to 69 years,51042,,,,,,,
AIAN,Not Hispanic,Male,70,5,yes,...70 to 74 years,37631,,,,,,,
AIAN,Not Hispanic,Male,75,5,yes,...75 to 79 years,23282,,,,,,,
AIAN,Not Hispanic,Male,80,5,yes,...80 to 84 years,13316,,,,,,,
AIAN,Not Hispanic,Male,85,,yes,...85 years and over,10026,,,,,,,
AIAN,Not Hispanic,Male,0,18,,...Under 18 years,313410,,,,,,,
AIAN,Not Hispanic,Male,0,5,,....Under 5 years,82787,,,,,,,
AIAN,Not Hispanic,Male,5,9,,....5 to 13 years,159393,,,,,,,
AIAN,Not Hispanic,Male,14,4,,....14 to 17 years,71230,,,,,,,
AIAN,Not Hispanic,Male,18,47,,...18 to 64 years,749664,,,,,,,
AIAN,Not Hispanic,Male,18,7,,....18 to 24 years,129161,,,,,,,
AIAN,Not Hispanic,Male,25,20,,....25 to 44 years,340217,,,,,,,
AIAN,Not Hispanic,Male,45,20,,....45 to 64 years,280286,,,,,,,
AIAN,Not Hispanic,Male,65,,,...65 years and over,135297,,,,,,,
AIAN,Not Hispanic,Male,85,,,...85 years and over,10026,,,,,,,
AIAN,Not Hispanic,Male,16,,,...16 years and over,920322,,,,,,,
AIAN,Not Hispanic,Male,18,,,...18 years and over,884961,,,,,,,
AIAN,Not Hispanic,Female,0,5,yes,...Under 5 years,79107,,,,,,,
AIAN,Not Hispanic,Female,5,5,yes,...5 to 9 years,84705,,,,,,,
AIAN,Not Hispanic,Female,10,5,yes,...10 to 14 years,87343,,,,,,,
AIAN,Not Hispanic,Female,15,5,yes,...15 to 19 years,87058,,,,,,,
AIAN,Not Hispanic,Female,20,5,yes,...20 to 24 years,89556,,,,,,,
AIAN,Not Hispanic,Female,25,5,yes,...25 to 29 years,98281,,,,,,,
AIAN,Not Hispanic,Female,30,5,yes,...30 to 34 years,86658,,,,,,,
AIAN,Not Hispanic,Female,35,5,yes,...35 to 39 years,80235,,,,,,,
AIAN,Not Hispanic,Female,40,5,yes,...40 to 44 years,71876,,,,,,,
AIAN,Not Hispanic,Female,45,5,yes,...45 to 49 years,72903,,,,,,,
AIAN,Not Hispanic,Female,50,5,yes,...50 to 54 years,74917,,,,,,,
AIAN,Not Hispanic,Female,55,5,yes,...55 to 59 years,82279,,,,,,,
AIAN,Not Hispanic,Female,60,5,yes,...60 to 64 years,75498,,,,,,,
AIAN,Not Hispanic,Female,65,5,yes,...65 to 69 years,59571,,,,,,,
AIAN,Not Hispanic,Female,70,5,yes,...70 to 74 years,43609,,,,,,,
AIAN,Not Hispanic,Female,75,5,yes,...75 to 79 years,28110,,,,,,,
AIAN,Not Hispanic,Female,80,5,yes,...80 to 84 years,17941,,,,,,,
AIAN,Not Hispanic,Female,85,,yes,...85 years and over,16890,,,,,,,
AIAN,Not Hispanic,Female,0,18,,...Under 18 years,302540,,,,,,,
AIAN,Not Hispanic,Female,0,5,,....Under 5 years,79107,,,,,,,
AIAN,Not Hispanic,Female,5,9,,....5 to 13 years,154491,,,,,,,
AIAN,Not Hispanic,Female,14,4,,....14 to 17 years,68942,,,,,,,
AIAN,Not Hispanic,Female,18,47,,...18 to 64 years,767876,,,,,,,
AIAN,Not Hispanic,Female,18,7,,....18 to 24 years,125229,,,,,,,
AIAN,Not Hispanic,Female,25,20,,....25 to 44 years,337050,,,,,,,
AIAN,Not Hispanic,Female,45,20,,....45 to 64 years,305597,,,,,,,
AIAN,Not Hispanic,Female,65,,,...65 years and over,166121,,,,,,,
AIAN,Not Hispanic,Female,85,,,...85 years and over,16890,,,,,,,
AIAN,Not Hispanic,Female,16,,,...16 years and over,968104,,,,,,,
AIAN,Not Hispanic,Female,18,,,...18 years and over,933997,,,,,,,
AIAN,Hispanic,Total,0,5,yes,..Under 5 years,152332,,,,,,,
AIAN,Hispanic,Total,5,5,yes,..5 to 9 years,151682,,,,,,,
AIAN,Hispanic,Total,10,5,yes,..10 to 14 years,157426,,,,,,,
AIAN,Hispanic,Total,15,5,yes,..15 to 19 years,147326,,,,,,,
AIAN,Hispanic,Total,20,5,yes,..20 to 24 years,141504,,,,,,,
AIAN,Hispanic,Total,25,5,yes,..25 to 29 years,146384,,,,,,,
AIAN,Hispanic,Total,30,5,yes,..30 to 34 years,139974,,,,,,,
AIAN,Hispanic,Total,35,5,yes,..35 to 39 years,138334,,,,,,,
AIAN,Hispanic,Total,40,5,yes,..40 to 44 years,123602,,,,,,,
AIAN,Hispanic,Total,45,5,yes,..45 to 49 years,112556,,,,,,,
AIAN,Hispanic,Total,50,5,yes,..50 to 54 years,95527,,,,,,,
AIAN,Hispanic,Total,55,5,yes,..55 to 59 years,82051,,,,,,,
AIAN,Hispanic,Total,60,5,yes,..60 to 64 years,62229,,,,,,,
AIAN,Hispanic,Total,65,5,yes,..65 to 69 years,41272,,,,,,,
AIAN,Hispanic,Total,70,5,yes,..70 to 74 years,27082,,,,,,,
AIAN,Hispanic,Total,75,5,yes,..75 to 79 years,15883,,,,,,,
AIAN,Hispanic,Total,80,5,yes,..80 to 84 years,9555,,,,,,,
AIAN,Hispanic,Total,85,,yes,..85 years and over,8465,,,,,,,
AIAN,Hispanic,Total,0,18,,..Under 18 years,550310,,,,,,,
AIAN,Hispanic,Total,0,5,,...Under 5 years,152332,,,,,,,
AIAN,Hispanic,Total,5,9,,...5 to 13 years,277964,,,,,,,
AIAN,Hispanic,Total,14,4,,...14 to 17 years,120014,,,,,,,
AIAN,Hispanic,Total,18,47,,..18 to 64 years,1100617,,,,,,,
AIAN,Hispanic,Total,18,7,,...18 to 24 years,199960,,,,,,,
AIAN,Hispanic,Total,25,20,,...25 to 44 years,548294,,,,,,,
AIAN,Hispanic,Total,45,20,,...45 to 64 years,352363,,,,,,,
AIAN,Hispanic,Total,65,,,..65 years and over,102257,,,,,,,
AIAN,Hispanic,Total,85,,,..85 years and over,8465,,,,,,,
AIAN,Hispanic,Total,16,,,..16 years and over,1261718,,,,,,,
AIAN,Hispanic,Total,18,,,..18 years and over,1202874,,,,,,,
AIAN,Hispanic,Male,0,5,yes,...Under 5 years,77315,,,,,,,
AIAN,Hispanic,Male,5,5,yes,...5 to 9 years,77079,,,,,,,
AIAN,Hispanic,Male,10,5,yes,...10 to 14 years,80751,,,,,,,
AIAN,Hispanic,Male,15,5,yes,...15 to 19 years,74885,,,,,,,
AIAN,Hispanic,Male,20,5,yes,...20 to 24 years,72713,,,,,,,
AIAN,Hispanic,Male,25,5,yes,...25 to 29 years,77047,,,,,,,
AIAN,Hispanic,Male,30,5,yes,...30 to 34 years,76971,,,,,,,
AIAN,Hispanic,Male,35,5,yes,...35 to 39 years,75138,,,,,,,
AIAN,Hispanic,Male,40,5,yes,...40 to 44 years,66033,,,,,,,
AIAN,Hispanic,Male,45,5,yes,...45 to 49 years,59750,,,,,,,
AIAN,Hispanic,Male,50,5,yes,...50 to 54 years,50663,,,,,,,
AIAN,Hispanic,Male,55,5,yes,...55 to 59 years,42424,,,,,,,
AIAN,Hispanic,Male,60,5,yes,...60 to 64 years,31773,,,,,,,
AIAN,Hispanic,Male,65,5,yes,...65 to 69 years,20365,,,,,,,
AIAN,Hispanic,Male,70,5,yes,...70 to 74 years,13139,,,,,,,
AIAN,Hispanic,Male,75,5,yes,...75 to 79 years,7175,,,,,,,
AIAN,Hispanic,Male,80,5,yes,...80 to 84 years,4035,,,,,,,
AIAN,Hispanic,Male,85,,yes,...85 years and over,3179,,,,,,,
AIAN,Hispanic,Male,0,18,,...Under 18 years,280270,,,,,,,
AIAN,Hispanic,Male,0,5,,....Under 5 years,77315,,,,,,,
AIAN,Hispanic,Male,5,9,,....5 to 13 years,142017,,,,,,,
AIAN,Hispanic,Male,14,4,,....14 to 17 years,60938,,,,,,,
AIAN,Hispanic,Male,18,47,,...18 to 64 years,582272,,,,,,,
AIAN,Hispanic,Male,18,7,,....18 to 24 years,102473,,,,,,,
AIAN,Hispanic,Male,25,20,,....25 to 44 years,295189,,,,,,,
AIAN,Hispanic,Male,45,20,,....45 to 64 years,184610,,,,,,,
AIAN,Hispanic,Male,65,,,...65 years and over,47893,,,,,,,
AIAN,Hispanic,Male,85,,,...85 years and over,3179,,,,,,,
AIAN,Hispanic,Male,16,,,...16 years and over,660181,,,,,,,
AIAN,Hispanic,Male,18,,,...18 years and over,630165,,,,,,,
AIAN,Hispanic,Female,0,5,yes,...Under 5 years,75017,,,,,,,
AIAN,Hispanic,Female,5,5,yes,...5 to 9 years,74603,,,,,,,
AIAN,Hispanic,Female,10,5,yes,...10 to 14 years,76675,,,,,,,
AIAN,Hispanic,Female,15,5,yes,...15 to 19 years,72441,,,,,,,
AIAN,Hispanic,Female,20,5,yes,...20 to 24 years,68791,,,,,,,
AIAN,Hispanic,Female,25,5,yes,...25 to 29 years,69337,,,,,,,
AIAN,Hispanic,Female,30,5,yes,...30 to 34 years,63003,,,,,,,
AIAN,Hispanic,Female,35,5,yes,...35 to 39 years,63196,,,,,,,
AIAN,Hispanic,Female,40,5,yes,...40 to 44 years,57569,,,,,,,
AIAN,Hispanic,Female,45,5,yes,...45 to 49 years,52806,,,,,,,
AIAN,Hispanic,Female,50,5,yes,...50 to 54 years,44864,,,,,,,
AIAN,Hispanic,Female,55,5,yes,...55 to 59 years,39627,,,,,,,
AIAN,Hispanic,Female,60,5,yes,...60 to 64 years,30456,,,,,,,
AIAN,Hispanic,Female,65,5,yes,...65 to 69 years,20907,,,,,,,
AIAN,Hispanic,Female,70,5,yes,...70 to 74 years,13943,,,,,,,
AIAN,Hispanic,Female,75,5,yes,...75 to 79 years,8708,,,,,,,
AIAN,Hispanic,Female,80,5,yes,...80 to 84 years,5520,,,,,,,
AIAN,Hispanic,Female,85,,yes,...85 years and over,5286,,,,,,,
AIAN,Hispanic,Female,0,18,,...Under 18 years,270040,,,,,,,
AIAN,Hispanic,Female,0,5,,....Under 5 years,75017,,,,,,,
AIAN,Hispanic,Female,5,9,,....5 to 13 years,135947,,,,,,,
AIAN,Hispanic,Female,14,4,,....14 to 17 years,59076,,,,,,,
AIAN,Hispanic,Female,18,47,,...18 to 64 years,518345,,,,,,,
AIAN,Hispanic,Female,18,7,,....18 to 24 years,97487,,,,,,,
AIAN,Hispanic,Female,25,20,,....25 to 44 years,253105,,,,,,,
AIAN,Hispanic,Female,45,20,,....45 to 64 years,167753,,,,,,,
AIAN,Hispanic,Female,65,,,...65 years and over,54364,,,,,,,
AIAN,Hispanic,Female,85,,,...85 years and over,5286,,,,,,,
AIAN,Hispanic,Female,16,,,...16 years and over,601537,,,,,,,
AIAN,Hispanic,Female,18,,,...18 years and over,572709,,,,,,,
NHPI,Total,Total,0,5,yes,.Under 5 years,58224,,,,,,,
NHPI,Total,Total,5,5,yes,.5 to 9 years,57611,,,,,,,
NHPI,Total,Total,10,5,yes,.10 to 14 years,62226,,,,,,,
NHPI,Total,Total,15,5,yes,.15 to 19 years,58967,,,,,,,
NHPI,Total,Total,20,5,yes,.20 to 24 years,59737,,,,,,,
NHPI,Total,Total,25,5,yes,.25 to 29 years,69451,,,,,,,
NHPI,Total,Total,30,5,yes,.30 to 34 years,70958,,,,,,,
NHPI,Total,Total,35,5,yes,.35 to 39 years,67963,,,,,,,
NHPI,Total,Total,40,5,yes,.40 to 44 years,56351,,,,,,,
NHPI,Total,Total,45,5,yes,.45 to 49 years,50068,,,,,,,
NHPI,Total,Total,50,5,yes,.50 to 54 years,46052,,,,,,,
